날짜,담당,업체,TF_GROUP,상세구분,결과,내용
0922,김상훈,동서콘솔 주식회사,기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 674103업체명 : 동서콘솔 주식회사제목 : [마케팅]동서콘솔 주식회사 견적서계약형태 : PALLET매
0922,김상훈,성신피앤씨/성아프라스틱,기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 491429업체명 : 성신피앤씨/성아프라스틱제목 : [마케팅]성신피앤씨/성아프라스틱 견적서계약형태 : P
0922,김상훈,어메이징팩토리 감천=삼진식품(부산서구),기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 468392업체명 : 어메이징팩토리 감천=삼진식품(부산서구)제목 : [마케팅]어메이징팩토리 견적서계약형태
0922,김상훈,삼진식품(주),기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 247692업체명 : 삼진식품(주)제목 : [마케팅]삼진식품(주) 견적서계약형태 : PALLET매출액구분
0922,김상훈,주식회사 페이퍼플레인키즈,기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 239875업체명 : 주식회사 페이퍼플레인키즈제목 : [마케팅]주식회사 페이퍼플레인키즈 견적서계약형태 :
0922,한상민,좌천리 디에트르디오션 현장(대방건설),입고미회수,02 입고미회수실수요처,입고미회수,"1.전자파렛트 회수 협의2.010-9565-2511(삼성(에어컨) 이맥스 시스템)3.내용- 엘지, 삼성 전자파렛트 회수를 위한 업체 확인- EL"
0922,한상민,코리아세븐-부산저온(범아로지텍),수불관리,18 수불관리거래처,수불관리,1.DRS 작성 / 전표 미확인건
0922,한상민,코리아세븐-부산저온(범아로지텍),수불관리,18 수불관리거래처,수불관리,1.DRS 작성 / 매일유업 양산공장 수량 차이건
0922,한상민,BGF로지스 기장센터,수불관리,18 수불관리거래처,수불관리,1.DRS 작성 / 수량 차이건
0922,한상민,BGF로지스 기장센터,DRS일괄작성,,제외:상세없음,
0922,한상민,롯데웰푸드 부산공장(자재과/정관),수불관리,18 수불관리거래처,수불관리,1.DRS 작성 / 전표 미확인 건
0922,한상민,세림에프앤씨,미수금/보증,47 미수금/보증거래처,미수금,1.보증금 입금 확인2.내용- PPS 신규 계약에 따른 보증금 30만원 입금 확인- WPPS 계정 정보 및 사용 가이드 파일 전송 완료
0922,고봉재,풀무원샘물마니가맹점,공파렛트확인,08 공파렛트확인실수요처,수불관리,1. 회수 문의 대응2. 내용- 회수 문의 대응
0922,고봉재,씨앤투스성진,경쟁사계약처,69 경쟁사계약처경쟁사,경쟁사,일자 : 20260922업체코드 : 230407업체명 : 씨앤투스성진제목 : [경쟁사] 씨앤투스성진 ()경쟁사 구분 : AJ방문업체 현황구분 :
0922,고봉재,대우공업사(부산사하구),기타,40 업무일지기타,경쟁사,일자 : 2026-09-22업체코드 : 548746업체명 : 대우공업사(부산사하구)제목 : [파렛트렌탈]대우공업사(부산사하구) 견적서계약형태 :
0922,고봉재,원익스프레스(부산생곡),경쟁사계약처,69 경쟁사계약처경쟁사,경쟁사,일자 : 20260922업체코드 : 580107업체명 : 원익스프레스(부산생곡)제목 : [경쟁사] 원익스프레스(부산생곡) ()경쟁사 구분 : A
0922,고봉재,(현대오일)에이치디오티서비스 주식회사,공파렛트확인,08 공파렛트확인실수요처,수불관리,1. 회수 협의2. 내용- N11형 4매 회수 진행 협의
0922,고봉재,(W09누리세움)명지동 3144현장,공파렛트확인,08 공파렛트확인실수요처,수불관리,1. 공파렛트 확인2. 내용- 회수 진행 완료
0922,고봉재,한국대동지공업주식회사,수불관리,18 수불관리거래처,수불관리,1. 수불 관리2. 내용- 출고분 미회수로 인한 컴플레인- 해당 내용 실수요처 담당자에게 전달 및 대응 요청- 실수요처에서 KPP 회수 원활하게
0922,최승현,주식회사 세선,신규업체,01 신규업체,신규업체,"1. 경쟁사 영업2. 물류팀장 면담3. 내용업체 현황:부산, 산업용 코팅제 제조, 25년 경쟁사 전환 영업 방문했으나 경쟁사 미사용 확인주력 제"
0922,차수범,대양물산(DFI건강생활)(웅촌고연),공파렛트확인,08 공파렛트확인실수요처,수불관리,"1. 공파렛트 확인2. -3. 내용- 웅촌소재 무역업체- LG생활건강 입고분 N11형 원료적재 12매, 공파렛트 2매 확인- 6679 최광수기사"
0922,차수범,한일튜브(주)울산공장,수불관리,18 수불관리거래처,수불관리,"1. 마감업무2. 김기훈 대리3. 내용- 울산, 자동차부품 제조, 25일 마감업체- 추석명절 연휴로 22일자 마감진행(계산서 22일자 발행)"
0922,차수범,(주)삼구아이앤씨(모트라스울산공장),물류장비,26 물류장비SCM/산업자재유통,신규영업 지게차,"1. 지게차 계약서 작성2. 이재익 대리3. 내용- 울산, 인력도급- 모트라스 울산공장 C/B 1대, 견인차 2대(롱프레임 1대, 기본프레임 1"
0922,안훈준,코오롱 엄궁동 현장,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-W09 10매 회수가능-정동진 기사 요청완료-빠른 회수 필요
0922,안훈준,남송)용당동 490-36,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-W09 10매 회수가능-정동진 기사님 요청완료-빠른 회수 필요
0922,안훈준,P12N) 중앙타일건재,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-P12N 약 4매 이상 회수가능-북구 덕천동 391-19-정동진 기사님 요청완료
0922,안훈준,부산도시자재(조경자재총판),업무일지,40 업무일지기타,제외:상세전부기타(40),2026-09-22 19:00:58[직퇴]1. 입고미회수 2. 내용-파렛트 입고내역 이상없음-빠른 회수 필요-회수 일정 협의 완료
0922,안훈준,좌천동 600-1현장,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-P12N 2매 회수가능-정동진 기사님 요청완료-1T 차량만 진입가능
0921,김재호,(주)GS네트웍스-양산센터(슈퍼저온/농산신선),수불관리,18 수불관리거래처,수불관리,출고 파렛트 이동전표 수령 방문 명일 이동ㄹ전표 WPPS 전산 등록 후 자료수정 작성
0921,김재호,업무일지,업무일지,40 업무일지기타,제외:상세전부기타(40),대구지점 지점장 회의 미수금 관리 매출 미달성건 업무지시 차량 미방문 업체
0921,김재호,(주)GS네트웍스-양산센터(슈퍼상온),수불관리,18 수불관리거래처,수불관리,출고 파렛트 이동전표 수령 방문 명일 이동ㄹ전표 WPPS 전산 등록 후 자료수정 작성
0921,김재호,송원케미칼(양산평산),수불관리,18 수불관리거래처,수불관리,"대리점 파렛트 사용 문의 010-5512-4857 송월타올 마케팅 정다운 대리 부산, 광주, 충주 대리점 KPP 임대문의 N11 40/3500/"
0921,김재호,(주)흥아,수불관리,18 수불관리거래처,신규영업 신규,미사용 유형 신규 견적파렛트 규격이 큰 전자 파렛트 견적 EL14 75/3500/1500EL15 80/6500/2300디18 90/8000/25
0921,배종일,(주)화진기업,수불관리,18 수불관리거래처,수불관리,"*재고증가 업체 확인 방문-담당자-유휴재고 130여매 확인-익일 윤진훈기사 회수 예정이며, 필히 회수 진행될 수 있도록 요청"
0921,배종일,(W09) KH건설 / 방어동 1288,재고실사,17 재고실사거래처,재고실사,*현장 재고조사 방문-담당자-종료된 현장으로 입출회 없음-확인결과 실재고 없음
0921,배종일,(W09)대림기전철물,재고실사,17 재고실사거래처,재고실사,*현장 재고조사 방문-담당자-상기업체는 종료된 현장으로 입출회 없음-실재고 없음
0921,배종일,업무일지,직출-업무일지,40 업무일지기타,제외:상세전부기타(40),2026-09-21 08:44:41본부회의 참석
0921,배종일,오제이씨(주) 울산공장,수불관리,18 수불관리거래처,수불관리,"*파렛트 회송분 확인-이현섭대리-모빌코리아 울산공장으로납품하고-회송분 확인, 6월부터 9월 현재까지 179매 확인하였고-이에 재입고 청구진행하기"
0921,배종일,동북구 예비군훈련장,재고실사,17 재고실사거래처,재고실사,"*현장 재고조사 방문-담당자-종료된 현장으로, 입출회 없음-실재고 없음"
0921,배종일,세지솔로텍 2공장,수불관리,18 수불관리거래처,수불관리,"*유휴재고 확인 방문-성정수부장-공장내 유휴재고 53매 정도 확인, 이에 회수 요청-익일 발재현기사 회수 진행 예정-주1회 정도 회수 진행 예정"
0921,박훈원,다천리 산 101현장,신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설현장3. 파렛트 입고내역 확인 안됨연락처통화불가 상태입고처통하여 재확인 후 회수협의 진행예정"
0921,박훈원,성화종합건설(포항)현장,신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설현장3. 파렛트 회수 관련 점검 전일 회수차량 방문하여 18매 회수한 이후 추가 입고 없음현장내 무자료 입고가"
0921,박훈원,화성실업 포항 현장,신규업체,01 신규업체,신규업체,"1. 신규건설현장 2. 포항, 건설현장3. 신규건설현장 회수협조 요청12매 입고분 입고내역 확인공파렛트 KPP 회수차량에 반납해줄 것을 요청 ."
0921,박훈원,현내리 886 현장,신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설현장3. 파렛트 입고내역 확인요청1매 입고되었으나 현장내 파렛트 관리 제대로 안되는 상태파렛트 소재 확인 안되"
0921,박훈원,남울진농협 영농자재센터,수불관리,18 수불관리거래처,수불관리,"1. 출고내역 수불 건2. 울진, 농협3. DRS 확인요청 건 대응8/24 서울청과 출고분 3매 -서울청과 입고가 맞는지 여부-실착이 강서도매시"
0921,박훈원,은성TM 포항북구,공파렛트확인,08 공파렛트확인실수요처,수불관리,"1. 건설현장 공파렛트 확인2. 포항, 건설현장3. 롯데백화점 포항점 내 인테리어 공사금일 공파렛트 2매 회수요청회수차량 회수 완료공파렛트 나오"
0921,박훈원,업무일지,기타,40 업무일지기타,제외:휴가,휴가(오후반차)
0921,김상훈,P12N) 동대신동1가 16-315,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,P12N) 남포동4가 5-3,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,암남동 73-4 현장,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,(KCC입고)중앙동4가 83-5,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,부산진구서면로50현장,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,영도구 동삼동 1095-41,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,암남동 42-1,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,JK유통,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,김상훈,굿대디,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0921,한상민,부산장안고등학교 현장,입고미회수,02 입고미회수실수요처,입고미회수,"1.입고미회수2.010-9330-42363.내용- 입고미회수 파렛트 회수를 위한 현장 확인- 공파렛트 약 50매 회수가능 확인, 7803차량 회"
0921,한상민,월드코/천경화물터미널(양산증산),RRPP견적,49 RRPP견적RRPP/FOLDPAC,신규영업 글로벌비즈,일자 : 2026-09-21업체코드 : 252418업체명 : 월드코/천경화물터미널(양산증산)제목 : [RRPP견적]월드코/천경화물터미널(양산증산
0921,한상민,세림에프앤씨,기타,40 업무일지기타,신규영업 신규,일자 : 2026-09-21업체코드 : 270173업체명 : 세림에프앤씨제목 : [파렛트렌탈]세림에프앤씨 견적서계약형태 : PALLET매출액구분
0921,한상민,성우인더스트리,산업자재유통,24 산업자재유통SCM/산업자재유통,신규영업 산업자재유통,일자 : 2026-09-21업체코드 : 878277업체명 : 성우인더스트리제목 : [산업자재유통]성우인더스트리 견적요청계약형태 : 산업자재유통매
0921,한상민,좌천리 디에트르디오션 현장(대방건설),입고미회수,02 입고미회수실수요처,입고미회수,"1.입고미회수2.010-2234-11473.내용- 입고미회수 파렛트 회수를 위한 현장 확인- N15 파렛트 잔여 6매 회수가능 확인, 7803차"
0921,고봉재,태광후지킨,신규업체,01 신규업체,신규업체,1. 신규 업체2. 내용- N11형 13매 공파렛트 확인 및 회수 진행 협의- 2550 김태겸 기사 방문 진행 예정
0921,고봉재,BGF로지스 부산,공파렛트확인,08 공파렛트확인실수요처,수불관리,1. 회수 협의2. 내용- 공파렛트 한차분 확인 및 회수 진행 협의
0921,고봉재,업무일지,업무일지,40 업무일지기타,제외:상세전부기타(40),1. 업무 일지2. 내용▷ 본부 회의 참석- MS 확대 : Bigs 대상 업체 10월초까지 경쟁사 방문 및 견적 진행(저단가 필요시 권역장님 보
0921,고봉재,희창물산(주),산업자재유통,24 산업자재유통SCM/산업자재유통,신규영업 산업자재유통,1. 산업자재유통2. 내용- 목재 파렛트 추가 발주 관련 문의- 현시점 수출 계획 미확정으로 추후 일정 및 발주 수량 재확인 필요
0921,고봉재,미농식품(녹산공단),산업자재유통,24 산업자재유통SCM/산업자재유통,신규영업 산업자재유통,"1. 산업자재유통 영업2. 내용- 기존 파우치 견적 건 발주 계획 재확인- 추후, 동판 변경시 자사 발주 진행 구두 확인"
0921,고봉재,주식회사 테란,수불관리,18 수불관리거래처,수불관리,1. 수불 관리2. 내용- 현재 사용 재고 관련 수불 문의- 관련 자료 송부 및 설명 진행
0921,최승현,업무일지,기타,40 업무일지기타,제외:휴가,휴가(연차휴가)
0921,차수범,영진아이디에스(웅촌고연),공파렛트확인,08 공파렛트확인실수요처,수불관리,"1. 공파렛트 확인2. -3. 내용- 웅촌소재 자동차 부품 제조업체- 1455 신강남기사 정기방문업체로, 회수에 협조적인 편- 회수가능한 P11"
0921,차수범,우신시스템 울산공장,공파렛트확인,08 공파렛트확인실수요처,수불관리,1. 공파렛트 확인2. 현장 담당자3. 내용- 웅촌소재 자동차 부품 제조업체- 업체 출입구 옆 공파렛트 보관장소 별도 구비- 회수가능한 P11형
0921,차수범,신정초등학교,업무일지 수불관리,18 수불관리거래처/40 업무일지기타,수불관리,"1. 현장실물확인방문2. 현장 담당자3. 내용- 신정초등학교 후문 체육관 공사현장- 08월 한일엘앤씨 W09형 입고분 미회수, 실물확인방문- 학"
0921,안훈준,(KCC입고)양정동 96-4,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-1T 차량만 진입가능-최대한 빠른 회수필요-정동진 기사 요청완료
0921,안훈준,양정메디컬센터 현장,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-정동진 기사 요청완료-W09 회수가능-1T 차량만 진입가능
0921,안훈준,영운)부전동 155-3,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-현장에 파렛트 없음-현장 담당자 왈 영운상사 전량 회수처리-자료수정 작성예정
0921,안훈준,토대건설-부산진구현장,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-N11 2매 회수가능-현장이지만 N11 파렛트 입고현장-조용태 기사님 요청완료
0921,안훈준,kcc 부전동 157-10,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-현장 담당자 미팅완료-W09 회수가능-정동진 기사 요청완료
0921,안훈준,글로벌안전산업,입고미회수,02 입고미회수실수요처,입고미회수,1. 입고미회수2. 내용-현장 담당자 왈 폐기처리-KPP 파렛트는 회수용으로 다음부터는 법적 조치 가능성 전달완료-명함 전달완료
0921,안훈준,(주)화승네트웍스-MRO,경쟁사실수요처,70 경쟁사실수요처경쟁사,경쟁사,일자 : 20260921업체코드 : 241275업체명 : (주)화승네트웍스-MRO제목 : [경쟁사] (주)화승네트웍스-MRO (미확인)경쟁사 구
0918,김재호,범어유통(양산남부),공파렛트확인,08 공파렛트확인실수요처,수불관리,회수 요청건 6679 최광수 호수프로 회수 요청
0918,김재호,극동유화(양산유산),수불관리,18 수불관리거래처,수불관리,입고처 : 오제이씨 입고 파렛트 호수 협조 요청오제이씨에 052-289-1346에 파렛트 회수 통화 '오제이씨 파렛트 담당자 부재로 회수여부 미
0918,김재호,태화식품공업-2공장(양산산막),직출-태화식품공업-2공장(양산산막),40 업무일지기타,제외:상세전부기타(40),2026-09-18 07:25:59계약처 수불 확인
0918,김재호,경신종합물류 (북정),공파렛트확인,08 공파렛트확인실수요처,수불관리,8월24일 회수 38매 이후무림제지 입고 4매 확인금일 용차 4매 회수 협의
0918,김재호,로지필드물류센터(엠에이치엔코),수불관리,18 수불관리거래처,수불관리,재입고 수불요청 미계약 유형 파렛트 회수협조 요청금일 용차 운영 : 박용용 차장 P13 / N12 회수협조 요청.
0918,김재호,금산날뜰어린이공원 정비사업 현장,신규업체,01 신규업체,신규업체,금산날뜰어린이공원 현장 김사장 010-3843-5480 금일 우천으로 미시공 -> 명일 방문 회수 협의 조동민 회수프로 명일 방문 요청
0918,김재호,양산시청역 시청사공원부근,신규업체,01 신규업체,신규업체,양산시청역 보도블럭 현장 정성기 과장이디씨 이노블록 16매 수령 확이 ㄴ-> 추가 입고 예정이며21일부터 작업 예정 추석전 1차 회수 협의
0918,배종일,"무학-울산지점,양산영업소,울산공장",재고실사,17 재고실사거래처,재고실사,"*런업체 재고조사 방문-담당자-재고조사 방문-원부적재분 23매, 공파렛트 3매 확인-류호준기사 회수 요청"
0918,배종일,제2시립노인복지관 현장,재고실사,17 재고실사거래처,재고실사,*런업체 재고조사 방문-담당자-상기현장은 종료된 현장으로 입출회 없음-실재고 없음 확인
0918,배종일,CJ대한통운_울산북Sub,재고실사,17 재고실사거래처,재고실사,*유휴재고 확인 방문-담당소장-금일 공파렛트 185매 확인-차주 월요일 윤진훈기사 회수 요청-원부적재분 52매 확인-지게차 콜 불러서 사용하는 
0918,배종일,제일유통(울산중산동),재고실사,17 재고실사거래처,재고실사,"*유휴재고 확인 방문-담당자-유휴재고 확인 방문, 공파렛트 28매 확인-금일 이승호기사 회수 요청"
0918,배종일,대한화섬주식회사,수불관리,18 수불관리거래처,수불관리,*출고내역 확인-박슬기담당-대한화섬 9월 출고내역 수령-17일자 까지 수령 완료-9월 마감은 28일에 마감짓기로 협의
0918,배종일,업무일지,직출-업무일지,40 업무일지기타,제외:상세전부기타(40),2026-09-18 08:35:49업체방문
0918,박훈원,오천리 764-6 현장,신규업체,01 신규업체,신규업체,1. 신규건설현장 확인2. 포항 건설현장3. 파렛트 관리현황 전달 회수 관련 담당자 교육 및 회수협조요청공파렛트 나오는대로 담당자 연락요청
0918,박훈원,창포동 622-18 현장,신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설현장3. 신규업체 확인파렛트 관리현황 전달공파렛트 나오는대로 회수협조 요청담당자 연락처 확인 회수차량 방문 일"
0918,박훈원,(주)중앙씨앤씨(용산리 147),신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설현장3. 신규건설현장 확인파렛트 1매 입고 확인공파렛트 회수 관련 담당자 전달나오는대로 연락주기로 함."
0918,박훈원,P12N) 중산리 298-3,신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설현장3. 파렛트 입고내역 확인건자재 1매 입고사용완료시 담당자 연락줄 것을 요청"
0918,박훈원,우현동 72-14 현장,신규업체,01 신규업체,신규업체,"1. 신규업체 확인2. 포항, 건설형장3. 신규 공사현장 점검파렛트 관리현황 전달입고분 대비 실물 부족 확인공파렛트 회수 관련 현장 담당자 교육"
0918,김상훈,다대동 460-1 현장,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,(KCC입고)하단동 616-3,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,동삼동 190 현장,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,프레쉬원 서구청점,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,신한여객 태종대영업소,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,바다형건어물,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,주식회사 주상,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,김상훈,주식회사 메이븐스,수불관리,18 수불관리거래처,수불관리,"* 신규업체 방문1. 내용- 원자재 입고 확인 결과 이상 없음(현재 원료 적재 중)- KPP파렛트 관리 및 회수 협조 요청, 공파렛트 발생시 연"
0918,한상민,예성택시,입고미회수,02 입고미회수실수요처,입고미회수,1.입고미회수2.내용- 입고미회수 파렛트 회수를 위한 업체 방문- 예성택시 기사 사무실 좌측 화장실 옆 공파렛트 1매 회수 완료
0918,한상민,신기콩나물,업무일지 입고미회수,02 입고미회수실수요처/40 업무일지기타,입고미회수,1.입고미회수 2026-09-18 08:58:54 (직출)2.내용- 입고미회수 파렛트 회수를 위한 업체 방문- 좁은 골목 안 가정집쪽에 위치하여
0918,한상민,금호타이어양산물류센타,입고미회수,02 입고미회수실수요처,입고미회수,1.입고미회수2.010-2716-79423.내용- 입고미회수 파렛트 회수를 위한 업체 방문- 추석 선물셋트 입고간 파렛트 입고 확인- 양산복합물
0918,고봉재,초인유통,공파렛트확인,08 공파렛트확인실수요처,수불관리,1. 공파렛트 확인2. 내용- 공파렛트 회수 진행 협의
0918,고봉재,금호R&S(주),수불관리,18 수불관리거래처,수불관리,1. 수불관리2. 내용- 인천 거래처 재고 증가로 실착지 확인 요청- 실착지 확인 결과 이상 없음- 인천 업체측에서는 금호R&S와 직접 거래 관
0918,고봉재,테일러팜스(창고),SCM,25 SCMSCM/산업자재유통,신규영업 SCM,1. SCM 계약서 갱신2. 내용- SCM 보관 계약서 갱신 진행
